ID;Bloc;Catégorie;Tâche;Description détaillée;Priorité;Temps (h);Responsable;Date début;Date échéance;Statut
3;Bloc 1;Authentification;Développer le système de connexion;Gérer la connexion et l'authentification des utilisateurs;1;3;Mouad;;;Terminé
4;Bloc 1;Authentification;Gestion des sessions;Implémenter la déconnexion et la gestion de sessions multiples;1;3;Mouad;;;Terminé
7;Bloc 1;Contacts;Structure de la liste de contacts;Créer la structure de données pour les contacts;1;2;Mouad;;;Partiel
10;Bloc 1;Messagerie;Envoi de messages texte;Implémenter l'envoi de messages texte entre utilisateurs;1;3;Mouad;;;Terminé
11;Bloc 1;Messagerie;Réception de messages texte;Implémenter la réception et l'affichage des messages;1;3;Mouad;;;Terminé
12;Bloc 1;Messagerie;Historique des conversations;Stocker et récupérer l'historique des messages;1;4;Mouad;;;Terminé
2;Bloc 1;Authentification;Développer le système d'inscription;Implémenter l'inscription via numéro/email;1;3;Mouad;;;Partiel (Backend seulement)
13;Bloc 1;Messagerie;Indicateurs de statut de message;Afficher les états des messages (envoyé, délivré, lu);1;3;Mouad;;;En cours
23;Bloc 1;Messagerie;Recherche dans les messages;Permettre la recherche de mots-clés dans l'historique;2;4;Mouad;;;Pas commencé
29;Bloc 1;Messagerie;Transfert de messages;Transfert de messages entre conversations;3;3;Mouad;;;Pas commencé
27;Bloc 1;Communication;Gestion des erreurs réseau;Affichage d'erreurs et reconnexion automatique;1;3;Mouad;;;Partiel (Affichage d'erreurs)
26;Bloc 1;Interface;Thème sombre;Option pour activer un thème sombre;3;4;Mouad;;;Pas commencé
5;Bloc 2;Profil;Stockage des données utilisateur;Créer la structure de données pour les profils utilisateurs;2;2;Fatima Zahra;;;Terminé
9;Bloc 2;Messagerie;Structure de base des messages;Définir la structure des messages et le protocole d'échange;1;4;Fatima Zahra;;;Terminé
6;Bloc 2;Profil;Interface de gestion du profil;Permettre aux utilisateurs de modifier leur profil (nom, photo, statut);2;2;Fatima Zahra;;;Pas commencé
14;Bloc 2;Messagerie;Messagerie de Groupe - Structure;Créer la structure pour les groupes de discussion;2;3;Fatima Zahra;;;Pas commencé
15;Bloc 2;Messagerie;Messagerie de Groupe - Interface;Interface utilisateur pour la gestion des groupes;2;3;Fatima Zahra;;;Pas commencé
25;Bloc 2;Messagerie;Réponses avec citation;Répondre à un message en le citant;2;3;Fatima Zahra;;;Pas commencé
24;Bloc 2;Messagerie;Indicateur de saisie;Afficher lorsqu'un contact est en train d'écrire;2;3;Fatima Zahra;;;Pas commencé
32;Bloc 2;Messagerie;Statut de présence;Afficher en temps réel le statut de présence des utilisateurs;2;4;Fatima Zahra;;;Partiel (Backend seulement)
16;Bloc 2;Notifications;Structure des notifications;Créer le système de base pour les notifications;1;2;Fatima Zahra;;;Pas commencé
17;Bloc 2;Notifications;Notifications Push;Implémenter des notifications en temps réel pour nouveaux messages;1;3;Fatima Zahra;;;Pas commencé
1;Bloc 3;Architecture;Conception de l'architecture de communication;Définir l'architecture client-serveur et les protocoles de communication;1;5;Younes;;;Terminé
28;Bloc 3;Stockage;Mise en cache des conversations;Optimiser le chargement par mise en cache;2;4;Younes;;;Terminé
31;Bloc 3;Messagerie;File d'attente côté serveur (récepteur hors ligne);Maintenir les messages en attente côté serveur jusqu'à la reconnexion du destinataire;2;1;Younes;;;Terminé
18;Bloc 3;Médias;Structure pour partage de médias;Définir la structure pour l'envoi et la réception de fichiers;2;3;Younes;;;Pas commencé
19;Bloc 3;Médias;Interface de partage de médias;Implémenter l'interface pour envoyer/recevoir des fichiers;2;3;Younes;;;Pas commencé
20;Bloc 3;Médias;Messages Vocaux;Enregistrer et envoyer des messages audio courts;2;4;Younes;;;Pas commencé
21;Bloc 3;Sécurité;Suppression de messages;Permettre la suppression d'un message envoyé;1;3;Younes;;;Partiel (Backend seulement)
22;Bloc 3;Sécurité;Blocage de contacts;Offrir la possibilité de bloquer ou signaler des contacts;2;3;Younes;;;Pas commencé
33;Bloc 3;Sécurité;Chiffrement de bout en bout (E2EE);Implémenter le chiffrement de bout en bout pour sécuriser les messages;1;8;Younes;;;Pas commencé
8;Bloc 3;Contacts;Interface de gestion des contacts;Importer, ajouter, supprimer et afficher les contacts;1;3;Younes;;;Partiel (Ajout basique implémenté)
